Actual_Lead_Time,Predicted_Lead_Time,Actual_Disruption,Predicted_Disruption
36.52,1.0363549,1.0,0.0
6.46,33.958473,0.0,1.0
8.4,79.14472,1.0,1.0
10.99,1.5964029,0.0,1.0
66.01,18.128218,1.0,1.0
30.22,7.8273544,1.0,1.0
1.23,22.999424,0.0,0.0
7.76,31.693668,1.0,1.0
4.7,23.99322,0.0,0.0
0.8,1.0363549,1.0,0.0
71.68,1.0363549,1.0,0.0
130.77,9.88633,1.0,0.0
13.62,5.856626,1.0,1.0
2.51,7.2871428,0.0,0.0
31.75,1.0363549,1.0,0.0
3.97,1.0363549,1.0,0.0
16.0,12.031161,0.0,0.0
6.24,1.1959847,0.0,0.0
1.59,27.552374,1.0,0.0
3.66,1.0363549,1.0,1.0
0.5,1.0363549,1.0,1.0
29.43,1.0363549,1.0,0.0
78.49,13.020591,1.0,0.0
1.94,44.050034,1.0,1.0
6.92,25.224426,1.0,1.0
15.17,9.49957,1.0,0.0
50.51,23.024546,1.0,1.0
3.61,14.291965,1.0,0.0
0.93,65.1952,1.0,1.0
0.99,1.0363549,0.0,1.0
0.6,11.654712,0.0,0.0
13.93,28.362982,1.0,1.0
0.78,1.0770072,0.0,0.0
17.18,4.9497256,0.0,0.0
108.49,1.0363549,1.0,0.0
3.39,1.1889263,1.0,0.0
9.61,1.0363549,0.0,0.0
28.85,9.13561,0.0,0.0
3.01,1.9672955,1.0,1.0
1.59,1.0363549,0.0,0.0
0.82,32.463593,1.0,0.0
0.5,12.337676,1.0,0.0
12.52,1.0507435,1.0,0.0
0.61,11.182755,0.0,0.0
0.7,1.0363549,0.0,0.0
0.99,113.98502,1.0,1.0
14.04,6.231862,1.0,0.0
9.81,1.0363549,1.0,0.0
24.04,12.144486,0.0,0.0
2.04,8.148774,1.0,1.0
11.27,30.173653,0.0,0.0
12.3,5.956237,0.0,0.0
4.12,26.081545,1.0,0.0
2.08,29.170202,1.0,1.0
0.5,1.0363549,0.0,0.0
1.46,28.620283,1.0,0.0
182.19,10.453006,1.0,0.0
177.59,13.577074,1.0,1.0
0.5,4.7838073,0.0,0.0
8.15,8.62272,1.0,0.0
35.77,25.19119,1.0,0.0
0.57,1.0363549,0.0,0.0
15.06,3.6657953,1.0,1.0
4.29,27.049824,0.0,0.0
40.3,1.2039692,1.0,1.0
10.98,1.0363549,1.0,0.0
3.33,1.82067,1.0,0.0
8.41,96.54058,0.0,1.0
4.34,28.331112,1.0,1.0
17.28,15.671149,0.0,1.0
14.49,184.37051,1.0,1.0
25.66,35.800888,1.0,1.0
9.27,6.657213,0.0,0.0
4.8,74.37548,0.0,1.0
29.71,1.4669194,1.0,1.0
0.99,7.113737,1.0,0.0
13.45,14.568254,0.0,1.0
0.5,6.192803,1.0,0.0
3.64,5.2315493,0.0,0.0
9.02,1.0363549,0.0,1.0
3.36,1.1777524,0.0,0.0
3.09,11.979074,1.0,1.0
1.27,1.0363549,1.0,0.0
0.5,17.015532,1.0,1.0
18.87,8.518296,1.0,0.0
12.07,1.0363549,1.0,0.0
20.55,1.6210092,1.0,0.0
15.62,4.2959495,0.0,0.0
0.55,1.0363549,1.0,0.0
11.04,26.860098,0.0,1.0
1.3,30.984224,1.0,1.0
6.95,6.4550385,0.0,0.0
9.89,1.0363549,0.0,0.0
17.38,10.258276,0.0,0.0
0.72,3.099786,1.0,0.0
151.28,42.91952,1.0,1.0
8.38,2.4599273,0.0,1.0
4.73,1.0363549,0.0,0.0
1.56,7.403289,0.0,0.0
13.86,7.7795725,0.0,0.0
62.57,3.963701,1.0,0.0
0.73,1.0363549,1.0,0.0
121.68,4.998757,1.0,1.0
2.96,7.262586,1.0,0.0
8.6,2.2210808,1.0,0.0
1.92,3.1051638,0.0,0.0
11.4,1.0363549,0.0,0.0
14.27,6.4615903,1.0,1.0
31.91,1.3853501,1.0,0.0
14.44,150.99493,1.0,1.0
6.78,18.248167,0.0,1.0
0.5,1.0363549,1.0,1.0
107.19,12.005509,1.0,1.0
18.1,1.0363549,0.0,0.0
4.11,48.64633,0.0,1.0
8.42,1.99349,1.0,1.0
1.07,13.2190485,0.0,0.0
3.97,7.0890956,1.0,0.0
0.57,9.882153,0.0,0.0
0.67,1.9938437,0.0,0.0
12.16,8.534661,1.0,0.0
10.74,16.461514,0.0,1.0
85.86,6.060298,1.0,1.0
14.58,3.0801504,0.0,0.0
0.5,2.577008,1.0,1.0
8.6,9.21948,0.0,1.0
1.11,1.0363549,1.0,0.0
27.15,38.666817,1.0,1.0
24.89,10.433562,0.0,0.0
30.18,8.957026,1.0,1.0
143.34,1.0363549,1.0,0.0
1.14,7.283429,1.0,1.0
2.65,6.154539,0.0,0.0
0.6,2.5879896,1.0,0.0
9.75,8.877376,0.0,1.0
0.5,9.370336,1.0,1.0
13.64,1.3106868,1.0,1.0
29.43,1.0363549,1.0,0.0
0.5,5.9851456,1.0,0.0
0.5,2.531556,1.0,0.0
6.39,6.1732435,1.0,0.0
11.25,17.965775,1.0,1.0
1.15,41.25333,1.0,1.0
5.65,1.0363549,0.0,1.0
1.52,1.0363549,1.0,0.0
20.97,1.0363549,0.0,0.0
12.61,1.0363549,1.0,0.0
0.5,14.5662985,0.0,0.0
11.29,83.6943,1.0,1.0
12.85,1.125166,0.0,0.0
10.96,1.0363549,0.0,0.0
1.36,17.011866,1.0,1.0
1.43,60.910744,1.0,1.0
11.97,16.117977,0.0,0.0
1.33,15.716702,0.0,0.0
5.35,11.630519,0.0,0.0
174.33,1.0363549,1.0,0.0
80.05,1.0363549,1.0,0.0
38.63,3.7612603,1.0,0.0
1.03,1.0363549,0.0,0.0
17.37,63.627182,0.0,1.0
5.96,23.365932,1.0,1.0
13.98,6.414029,0.0,0.0
1.11,79.921,0.0,1.0
1.13,17.930971,1.0,0.0
0.5,1.0363549,1.0,0.0
0.54,19.428219,0.0,1.0
2.2,7.9744143,0.0,0.0
24.71,1.385298,1.0,0.0
0.89,32.12278,1.0,1.0
14.43,7.6489887,1.0,0.0
25.6,1.0363549,0.0,0.0
36.08,17.750456,0.0,1.0
4.54,10.986833,1.0,1.0
0.5,1.6377945,1.0,0.0
7.54,9.425909,1.0,0.0
104.57,67.57365,1.0,1.0
9.89,15.740342,0.0,1.0
0.71,7.574433,0.0,0.0
1.01,13.3211355,0.0,1.0
1.24,1.0363549,1.0,1.0
6.53,11.568404,0.0,1.0
10.67,2.6463468,0.0,0.0
4.86,1.0363549,0.0,0.0
1.5,43.464226,1.0,1.0
59.8,1.054971,1.0,1.0
1.76,5.12566,1.0,0.0
24.18,5.7469645,0.0,0.0
0.5,1.0363549,0.0,0.0
0.5,1.0363549,0.0,0.0
139.45,143.68839,1.0,1.0
28.93,1.2232137,1.0,1.0
1.96,10.017596,0.0,0.0
3.64,10.5608015,1.0,0.0
193.11,1.0363549,1.0,0.0
7.66,13.509642,0.0,1.0
9.14,4.4392376,0.0,0.0
25.24,51.594093,1.0,1.0
4.5,64.09626,0.0,1.0
2.61,10.26248,0.0,1.0
7.3,1.0363549,0.0,0.0
32.91,60.90985,0.0,1.0
73.88,1.0363549,1.0,0.0
39.87,16.254524,1.0,0.0
17.11,22.638002,1.0,0.0
4.1,9.916078,1.0,0.0
26.6,14.495839,1.0,1.0
0.66,54.636097,1.0,1.0
18.01,11.777539,1.0,1.0
0.92,1.3041219,0.0,1.0
81.56,10.738868,1.0,0.0
5.91,1.0363549,0.0,0.0
5.5,10.2530155,0.0,0.0
5.08,2.9012883,1.0,0.0
6.34,13.592355,0.0,0.0
0.73,8.076812,1.0,0.0
46.91,38.92697,1.0,1.0
8.56,8.060823,0.0,0.0
7.07,64.1838,0.0,1.0
151.27,49.05381,1.0,1.0
0.5,25.650843,0.0,1.0
1.09,68.231926,0.0,1.0
7.05,1.0363549,1.0,0.0
15.58,1.0363549,1.0,0.0
0.5,8.740077,1.0,1.0
6.35,1.0363549,0.0,0.0
3.66,141.6897,1.0,1.0
3.39,14.887074,0.0,0.0
1.27,1.0363549,1.0,0.0
1.21,18.378023,0.0,0.0
2.11,14.398813,1.0,1.0
0.98,30.103853,0.0,0.0
1.06,1.5208304,1.0,0.0
19.53,34.835373,0.0,1.0
1.45,1.0363549,1.0,0.0
72.6,5.5840383,1.0,0.0
22.52,1.0363549,1.0,0.0
3.71,1.0511173,1.0,0.0
12.42,7.4371347,1.0,0.0
8.31,26.970293,1.0,1.0
8.71,1.0363549,1.0,0.0
1.82,9.26528,1.0,0.0
0.5,7.3173547,0.0,0.0
68.95,9.772879,1.0,0.0
4.71,14.049577,1.0,0.0
9.73,12.136584,0.0,1.0
26.97,10.199504,1.0,1.0
1.26,9.577567,1.0,0.0
0.6,7.8787184,1.0,1.0
9.12,3.3602867,1.0,0.0
65.13,4.3558455,1.0,1.0
15.01,28.171055,1.0,1.0
43.29,11.963002,1.0,0.0
13.7,27.71932,1.0,1.0
10.74,5.0088067,1.0,0.0
12.01,11.077597,1.0,1.0
6.24,8.612288,0.0,1.0
113.8,1.7911339,1.0,0.0
9.27,4.778535,1.0,1.0
5.41,1.0363549,1.0,0.0
5.28,14.855882,0.0,0.0
187.31,21.00108,1.0,1.0
1.17,8.997674,1.0,0.0
6.83,30.9563,1.0,1.0
2.47,179.2733,1.0,1.0
2.77,5.0259676,1.0,0.0
0.98,59.43355,0.0,1.0
9.89,6.389743,0.0,0.0
3.58,8.565543,1.0,1.0
3.36,1.6612265,0.0,0.0
16.55,102.19319,1.0,1.0
3.91,1.2448326,1.0,0.0
2.74,64.29606,0.0,1.0
9.38,7.2376366,0.0,0.0
18.23,183.58133,0.0,1.0
2.16,1.0363549,0.0,0.0
65.2,1.0363549,1.0,0.0
1.3,23.319168,0.0,0.0
5.72,1.0363549,0.0,0.0
7.44,9.545566,0.0,0.0
42.23,37.3814,1.0,1.0
28.16,64.63938,1.0,1.0
10.67,12.822942,1.0,0.0
3.95,1.0363549,1.0,0.0
1.16,1.0363549,1.0,0.0
9.01,10.139608,0.0,0.0
5.2,35.73169,0.0,1.0
54.03,48.01767,1.0,1.0
9.05,1.0363549,0.0,1.0
5.92,10.749687,0.0,0.0
5.6,1.0394155,0.0,0.0
13.28,1.0363549,1.0,0.0
32.09,121.78944,0.0,1.0
0.99,1.179647,1.0,0.0
36.32,1.0363549,1.0,1.0
4.81,3.364242,1.0,0.0
19.06,8.859937,1.0,1.0
91.73,1.320554,1.0,1.0
0.5,9.5660095,1.0,0.0
0.5,5.698851,0.0,0.0
0.5,1.8122478,1.0,1.0
1.67,2.8693707,0.0,0.0
1.37,3.6655674,0.0,0.0
71.01,21.660604,1.0,1.0
3.11,1.3056378,0.0,1.0
1.31,5.5203643,1.0,0.0
75.56,10.77587,1.0,1.0
1.46,1.1203041,1.0,1.0
36.66,11.306804,1.0,0.0
8.75,24.52402,0.0,1.0
0.5,1.0363549,1.0,0.0
1.33,25.657892,0.0,1.0
5.55,1.5067693,0.0,0.0
1.4,5.8818426,1.0,0.0
12.39,1.0363549,1.0,1.0
2.36,23.975996,1.0,0.0
9.02,9.292172,0.0,0.0
3.52,7.592788,0.0,0.0
0.87,66.92971,0.0,1.0
36.53,11.98473,1.0,0.0
176.04,1.215451,1.0,1.0
4.41,1.0363549,1.0,0.0
75.93,21.028162,1.0,0.0
91.43,19.68695,1.0,0.0
13.66,1.0363549,1.0,0.0
188.68,15.2094965,1.0,0.0
6.29,8.051025,1.0,0.0
17.31,9.320228,1.0,1.0
1.15,1.0363549,0.0,0.0
13.31,1.0363549,1.0,0.0
28.41,20.352808,1.0,1.0
61.37,13.295378,1.0,0.0
53.31,2.9196804,1.0,1.0
76.67,37.53509,1.0,1.0
41.39,23.720547,1.0,1.0
11.76,2.141754,1.0,1.0
4.96,4.607358,0.0,1.0
0.88,9.811328,1.0,0.0
31.95,1.9728017,0.0,1.0
0.5,19.621569,0.0,1.0
39.94,12.216607,1.0,0.0
3.27,28.627453,1.0,1.0
1.34,12.07174,1.0,0.0
20.93,43.484844,0.0,1.0
23.27,33.97767,0.0,1.0
8.86,21.096865,1.0,1.0
4.89,1.4874537,0.0,0.0
12.94,16.348661,1.0,0.0
25.71,46.377083,0.0,1.0
64.07,53.660156,1.0,1.0
24.61,5.2767677,0.0,0.0
26.1,96.99999,0.0,1.0
1.83,20.703081,0.0,0.0
10.72,28.974985,1.0,1.0
2.87,6.717192,0.0,0.0
0.5,5.793275,0.0,0.0
0.81,7.60667,0.0,1.0
0.5,5.91726,1.0,0.0
0.5,1.0363549,0.0,0.0
1.67,14.045306,1.0,1.0
1.4,1.8959118,0.0,0.0
36.21,2.473942,0.0,0.0
26.13,5.801144,1.0,0.0
2.3,1.0363549,0.0,1.0
5.56,69.43748,1.0,1.0
9.83,3.7884934,1.0,0.0
2.22,69.42399,0.0,1.0
13.67,1.0333301,0.0,0.0
20.64,16.548086,0.0,1.0
0.98,10.021604,0.0,0.0
0.5,1.0363549,0.0,1.0
28.27,66.87154,1.0,1.0
31.21,22.229313,0.0,1.0
5.21,1.0376389,1.0,0.0
25.32,9.083694,0.0,1.0
10.7,1.2211764,0.0,0.0
16.06,8.403879,0.0,0.0
62.72,11.556857,1.0,1.0
0.65,1.3912947,0.0,1.0
1.33,1.0363549,0.0,0.0
26.01,1.0363549,1.0,0.0
13.07,8.589714,0.0,1.0
55.56,6.5276985,1.0,0.0
18.49,9.918301,1.0,0.0
2.64,16.570139,0.0,1.0
5.99,42.62474,1.0,1.0
0.5,8.127488,1.0,1.0
5.55,7.021619,0.0,1.0
1.35,3.9465046,1.0,0.0
12.62,16.571135,1.0,1.0
1.68,1.4333706,1.0,0.0
7.93,4.5736804,1.0,0.0
24.76,21.891258,1.0,0.0
1.09,1.0363549,1.0,0.0
20.96,98.869705,1.0,1.0
0.5,11.117345,1.0,0.0
2.71,3.9604251,1.0,0.0
14.3,22.103636,0.0,0.0
0.5,26.79606,0.0,1.0
20.98,1.0363549,1.0,0.0
0.99,33.298008,0.0,1.0
33.82,1.0363549,0.0,0.0
2.28,21.539454,1.0,1.0
153.96,33.33291,1.0,1.0
14.11,75.47346,0.0,1.0
21.14,2.419993,0.0,1.0
0.5,11.734979,1.0,1.0
7.8,32.079224,0.0,1.0
15.48,7.3661957,1.0,0.0
15.59,14.881337,1.0,0.0
0.72,1.0383586,0.0,1.0
130.6,8.166415,1.0,0.0
15.56,5.0591745,0.0,0.0
9.22,2.0604787,1.0,0.0
0.7,190.5194,0.0,1.0
212.15,21.603493,1.0,1.0
0.5,16.908392,1.0,1.0
9.42,6.8563986,0.0,1.0
10.89,6.521136,0.0,0.0
100.41,34.747818,1.0,1.0
37.44,1.0363549,1.0,0.0
22.03,129.38412,1.0,1.0
0.98,7.9271183,1.0,0.0
3.62,70.73611,1.0,1.0
48.31,30.215431,1.0,1.0
13.56,1.0363549,0.0,0.0
44.53,1.0363549,1.0,0.0
17.77,87.4826,1.0,1.0
167.07,3.966743,1.0,1.0
234.84,26.131577,1.0,1.0
2.34,1.0363549,1.0,0.0
0.5,75.51561,0.0,1.0
4.37,13.187927,1.0,1.0
32.14,2.083299,1.0,0.0
19.37,10.596738,1.0,0.0
3.44,16.247972,1.0,0.0
104.15,1.0363549,1.0,0.0
61.34,36.347984,0.0,1.0
18.23,17.298449,1.0,0.0
4.85,27.783648,1.0,1.0
14.87,1.0363549,1.0,0.0
7.24,10.902986,0.0,0.0
42.61,3.4556878,1.0,0.0
1.41,1.640239,0.0,0.0
2.0,26.656261,0.0,1.0
0.5,9.177005,1.0,0.0
0.5,25.540918,1.0,1.0
9.34,14.447907,0.0,0.0
76.23,12.630799,1.0,0.0
2.51,17.856668,0.0,1.0
18.95,1.3160043,1.0,0.0
0.52,3.3517053,1.0,0.0
13.3,30.390137,0.0,0.0
12.52,1.0363549,0.0,0.0
89.58,1.5310236,1.0,1.0
43.18,50.899567,1.0,1.0
7.56,18.158829,1.0,1.0
4.19,17.963655,0.0,0.0
2.22,4.6953087,0.0,0.0
2.44,4.196847,1.0,0.0
9.31,38.36891,0.0,1.0
41.67,15.808638,1.0,1.0
1.7,28.494825,1.0,1.0
3.83,1.2353166,1.0,0.0
7.5,180.09181,0.0,1.0
8.43,12.411035,1.0,0.0
0.85,3.673085,0.0,1.0
60.7,1.0363549,1.0,1.0
14.81,1.0363549,0.0,0.0
3.63,2.598441,0.0,0.0
28.49,5.681633,0.0,0.0
2.85,3.5504925,1.0,1.0
5.18,16.528463,0.0,1.0
8.38,46.581635,0.0,1.0
0.61,5.721429,1.0,0.0
2.18,74.61916,1.0,1.0
4.23,16.413034,1.0,0.0
64.07,9.463651,1.0,1.0
16.12,1.0363549,0.0,0.0
34.04,1.1002593,1.0,0.0
0.5,53.83148,0.0,1.0
26.09,1.0363549,1.0,1.0
4.92,1.4986069,0.0,1.0
41.5,130.7201,1.0,1.0
64.01,46.15532,1.0,1.0
7.86,1.0363549,1.0,0.0
1.41,7.0370326,1.0,0.0
0.54,8.320479,0.0,1.0
69.65,1.0363549,1.0,0.0
29.34,30.918264,1.0,1.0
1.06,10.942223,0.0,0.0
19.23,123.54804,1.0,1.0
0.5,101.242195,1.0,1.0
0.51,1.0363549,0.0,0.0
26.55,46.314377,1.0,1.0
17.8,1.2218223,1.0,0.0
87.17,8.288248,1.0,0.0
5.81,1.0363549,1.0,1.0
10.55,34.370995,0.0,1.0
1.06,1.0363549,0.0,1.0
54.82,34.915657,1.0,1.0
71.46,56.888077,1.0,1.0
42.3,31.523602,1.0,1.0
8.88,4.7807074,0.0,0.0
7.49,27.581305,0.0,1.0
0.99,1.731214,0.0,0.0
2.35,1.4699655,0.0,0.0
32.97,4.9312744,1.0,1.0
10.97,107.38265,0.0,1.0
2.29,11.292314,1.0,0.0
15.04,1.0363549,1.0,0.0
0.97,1.987247,1.0,1.0
8.59,4.3636494,0.0,0.0
31.31,7.870861,1.0,1.0
114.07,2.8232684,1.0,1.0
2.38,2.039047,0.0,1.0
0.93,1.1989883,0.0,0.0
0.5,92.50178,1.0,1.0
3.76,13.759495,0.0,0.0
0.88,1.890519,1.0,0.0
0.5,11.720276,1.0,0.0
22.66,1.0363549,0.0,0.0
4.7,1.6555486,0.0,1.0
0.54,1.0363549,0.0,1.0
6.26,1.8313193,1.0,0.0
39.25,11.191586,1.0,0.0
14.62,124.16181,0.0,1.0
17.22,1.0363549,1.0,1.0
8.93,18.665731,0.0,0.0
6.89,16.732592,1.0,0.0
7.71,1.0363549,1.0,0.0
14.2,7.692748,1.0,0.0
8.17,5.08218,1.0,0.0
10.11,16.619299,1.0,1.0
12.68,2.3930457,1.0,0.0
4.34,1.0363549,1.0,0.0
0.83,9.160371,1.0,0.0
0.87,1.3436458,0.0,0.0
58.26,23.29337,1.0,1.0
28.33,16.044977,0.0,0.0
0.5,1.0363549,0.0,0.0
6.65,2.4646366,1.0,0.0
6.69,6.7772846,0.0,1.0
4.74,7.4230433,1.0,0.0
89.62,1.0363549,1.0,1.0
15.64,11.31808,1.0,0.0
8.15,1.0363549,1.0,0.0
8.98,5.9284215,0.0,0.0
37.3,1.0406609,1.0,1.0
28.2,8.38407,1.0,0.0
6.5,12.688747,0.0,0.0
23.87,1.4590166,1.0,0.0
91.82,16.357925,1.0,0.0
48.32,6.860249,1.0,0.0
10.25,7.6372967,1.0,0.0
4.64,24.115866,0.0,0.0
0.5,81.51908,1.0,1.0
12.06,5.3413935,0.0,0.0
0.5,11.76447,0.0,0.0
4.34,1.281573,1.0,0.0
27.24,1.0363549,1.0,0.0
16.73,7.970354,0.0,1.0
24.31,25.214333,1.0,1.0
0.96,2.7427664,1.0,1.0
2.06,5.4320493,0.0,0.0
6.88,40.069542,0.0,1.0
22.69,8.777101,1.0,0.0
16.94,13.136393,1.0,0.0
0.5,15.178375,1.0,0.0
10.76,1.0363549,0.0,0.0
0.5,3.040436,1.0,1.0
6.16,1.0363549,1.0,0.0
1.09,61.293297,1.0,1.0
4.02,1.0330305,0.0,1.0
5.23,50.029305,0.0,1.0
18.3,1.0363549,0.0,0.0
18.72,1.8876201,0.0,0.0
24.45,11.518179,0.0,1.0
12.33,9.012971,0.0,0.0
39.58,24.297338,1.0,1.0
2.94,7.177878,0.0,1.0
19.43,1.2041156,1.0,0.0
139.21,1.0363549,1.0,0.0
60.49,13.079187,1.0,0.0
0.5,22.134655,0.0,1.0
1.76,1.0363549,0.0,1.0
22.87,79.03842,1.0,1.0
1.07,81.781654,1.0,1.0
6.21,1.0363549,0.0,1.0
58.16,19.856585,1.0,1.0
1.17,1.0363549,0.0,0.0
1.77,10.0302305,0.0,0.0
24.06,5.082407,0.0,0.0
3.31,1.0363549,0.0,0.0
29.9,2.0880997,1.0,0.0
22.33,16.12235,1.0,1.0
0.68,8.404947,1.0,0.0
13.3,10.751769,1.0,0.0
8.2,10.349583,1.0,0.0
19.37,5.1307173,1.0,0.0
1.62,1.0363549,1.0,0.0
37.6,8.891912,1.0,0.0
0.5,1.0363549,0.0,0.0
11.82,17.005459,1.0,0.0
7.67,1.6258343,0.0,1.0
37.82,4.9988084,1.0,0.0
0.5,28.977034,0.0,1.0
39.2,42.713913,1.0,1.0
3.38,15.100704,1.0,0.0
1.55,135.38414,0.0,1.0
15.3,32.00598,1.0,1.0
7.14,4.6757383,0.0,0.0
6.06,1.0363549,0.0,0.0
11.76,47.41169,1.0,1.0
32.11,12.374465,0.0,0.0
48.98,27.224169,1.0,1.0
6.14,10.115743,1.0,0.0
6.83,1.0363549,1.0,0.0
17.49,4.116244,0.0,0.0
0.5,1.2814523,1.0,1.0
6.69,1.0363549,1.0,0.0
9.7,5.2940426,1.0,0.0
0.5,36.569305,1.0,1.0
17.2,13.426608,0.0,0.0
1.72,1.6182365,0.0,0.0
24.3,13.521447,1.0,0.0
28.11,5.4250956,1.0,0.0
8.68,18.349386,1.0,1.0
7.44,5.5052314,1.0,1.0
43.65,6.1748257,1.0,0.0
6.15,1.0363549,1.0,0.0
5.83,29.900347,0.0,1.0
35.67,1.0500087,1.0,0.0
10.95,70.56226,1.0,1.0
4.44,10.876616,1.0,0.0
1.74,160.1881,0.0,1.0
11.92,7.1044307,1.0,0.0
5.57,6.331869,1.0,0.0
3.5,24.191767,1.0,0.0
27.67,6.3700323,1.0,0.0
20.96,14.908834,0.0,0.0
27.75,16.656273,1.0,0.0
2.69,3.402879,1.0,0.0
0.5,6.9523406,1.0,1.0
3.75,6.083415,1.0,0.0
0.76,19.24394,1.0,1.0
2.82,14.207126,1.0,0.0
14.38,5.684457,1.0,0.0
6.15,4.341576,1.0,0.0
31.5,15.294993,0.0,0.0
11.19,1.0363549,0.0,0.0
1.66,69.18531,0.0,1.0
0.99,2.40482,1.0,1.0
19.59,2.58856,0.0,1.0
9.47,73.38828,1.0,1.0
5.73,6.103011,1.0,0.0
0.5,6.308334,1.0,0.0
6.83,12.357862,1.0,0.0
6.8,1.1596662,0.0,0.0
13.47,24.022598,0.0,1.0
0.5,1.0363549,0.0,0.0
11.66,6.201157,0.0,0.0
9.31,1.28447,0.0,0.0
18.32,8.374789,1.0,0.0
40.12,30.999289,1.0,1.0
12.93,9.130479,0.0,1.0
2.75,1.0363549,1.0,0.0
35.26,14.010678,1.0,0.0
13.01,1.085418,1.0,0.0
4.44,16.806238,1.0,1.0
0.78,17.645166,0.0,0.0
8.23,29.826967,0.0,1.0
13.9,1.6356593,0.0,0.0
115.41,18.602766,1.0,1.0
4.69,3.5504634,1.0,1.0
18.96,4.0227165,0.0,1.0
5.87,2.220651,1.0,1.0
95.46,8.267793,1.0,0.0
79.36,3.119846,1.0,0.0
6.68,8.85742,0.0,1.0
5.94,1.0363549,0.0,0.0
0.56,179.27844,0.0,1.0
14.79,30.979887,0.0,1.0
13.38,7.384406,1.0,0.0
0.5,8.647094,1.0,0.0
11.17,1.0363549,1.0,0.0
60.49,74.56367,1.0,1.0
7.94,144.2966,0.0,1.0
23.97,17.961344,1.0,1.0
16.84,11.551895,1.0,1.0
5.89,6.411274,1.0,1.0
0.5,8.2870245,1.0,0.0
5.71,9.510781,1.0,0.0
11.17,25.624887,0.0,1.0
5.6,11.78504,1.0,0.0
15.42,53.16823,0.0,1.0
20.55,1.0363549,0.0,0.0
71.57,14.286223,1.0,1.0
5.9,1.0363549,0.0,0.0
4.75,14.670314,1.0,0.0
2.3,11.577813,0.0,1.0
12.28,57.743618,1.0,1.0
0.5,8.289028,0.0,0.0
49.9,63.49114,1.0,1.0
15.01,8.296421,1.0,1.0
3.09,16.727415,0.0,0.0
8.01,3.7433302,1.0,1.0
15.03,30.768576,1.0,1.0
19.17,64.23732,0.0,1.0
10.32,15.809449,1.0,1.0
22.6,1.0363549,1.0,0.0
7.26,6.870512,0.0,1.0
3.71,25.52503,0.0,0.0
9.17,5.1953816,0.0,0.0
7.23,8.465409,0.0,0.0
92.84,15.68168,1.0,0.0
7.39,8.626508,0.0,0.0
2.5,3.216232,1.0,0.0
11.2,12.986604,1.0,0.0
2.88,13.801985,0.0,0.0
42.14,13.598844,1.0,1.0
23.55,16.280506,1.0,1.0
12.57,168.41304,0.0,1.0
21.79,2.9780514,0.0,0.0
0.56,51.07218,0.0,1.0
9.74,15.032667,0.0,1.0
17.32,8.105256,1.0,0.0
17.49,1.0500284,0.0,0.0
5.11,16.236963,1.0,1.0
1.17,38.778973,0.0,1.0
